"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03.11.2025","2.570,96","2.566,11","2.579,91","2.561,91","17,87B","1,51%"
"01.11.2025","2.532,66","2.524,01","2.534,73","2.520,57","12,29B","0,30%"
"31.10.2025","2.525,20","2.555,63","2.556,72","2.522,73","31,95B","-1,26%"
"30.10.2025","2.557,48","2.531,72","2.567,79","2.528,01","56,07B","1,35%"
"29.10.2025","2.523,35","2.502,84","2.531,25","2.500,89","43,31B","1,13%"
"28.10.2025","2.495,09","2.480,30","2.515,91","2.475,24","59,84B","0,74%"
"27.10.2025","2.476,79","2.500,63","2.506,30","2.457,87","66,50B","-2,64%"
"24.10.2025","2.543,93","2.580,20","2.606,81","2.530,37","71,14B","-1,04%"
"23.10.2025","2.570,67","2.568,42","2.582,67","2.546,26","61,74B","-3,10%"
"22.10.2025","2.653,00","2.659,13","2.678,25","2.636,48","44,65B","0,78%"
"21.10.2025","2.632,42","2.694,35","2.715,78","2.608,42","76,97B","-4,10%"
"20.10.2025","2.744,83","2.736,90","2.757,39","2.726,99","50,21B","0,87%"
"17.10.2025","2.721,14","2.695,86","2.734,79","2.688,36","69,31B","4,35%"
"16.10.2025","2.607,78","2.534,12","2.617,18","2.528,86","68,68B","2,46%"
"15.10.2025","2.545,22","2.537,12","2.564,83","2.521,87","54,82B","0,15%"
"14.10.2025","2.541,49","2.571,87","2.575,76","2.530,17","50,23B","-1,35%"
"13.10.2025","2.576,38","2.602,37","2.611,54","2.549,77","60,67B","-0,47%"
"10.10.2025","2.588,56","2.635,45","2.640,07","2.572,91","56,92B","-1,89%"
"09.10.2025","2.638,37","2.559,14","2.645,81","2.521,43","105,24B","2,96%"
"08.10.2025","2.562,51","2.669,75","2.677,75","2.548,37","86,98B","-3,98%"
"07.10.2025","2.668,60","2.645,04","2.673,27","2.635,79","51,11B","0,76%"
"06.10.2025","2.648,50","2.594,38","2.651,14","2.579,19","70,04B","1,69%"
"03.10.2025","2.604,55","2.639,88","2.649,57","2.600,85","45,15B","-1,05%"
"02.10.2025","2.632,07","2.629,36","2.648,67","2.623,10","47,73B","-0,57%"
"01.10.2025","2.647,25","2.690,14","2.692,19","2.640,56","51,41B","-1,39%"
"30.09.2025","2.684,60","2.681,81","2.689,60","2.651,13","59,40B","0,02%"
"29.09.2025","2.684,09","2.713,14","2.744,80","2.680,53","60,63B","-1,54%"
"26.09.2025","2.725,97","2.701,97","2.725,97","2.686,68","45,15B","0,64%"
"25.09.2025","2.708,68","2.733,53","2.738,58","2.699,42","32,47B","-0,55%"
"24.09.2025","2.723,58","2.683,53","2.745,14","2.675,62","57,98B","-1,27%"
"23.09.2025","2.758,65","2.755,98","2.769,88","2.733,36","46,01B","0,64%"
"22.09.2025","2.741,06","2.735,80","2.748,52","2.702,52","71,91B","-0,25%"
"19.09.2025","2.748,06","2.787,39","2.794,33","2.745,40","73,45B","-1,63%"
